Date,Assets,USDT Value
2025/3/15 下午1:35:21,"ARTIC:38.3500;DOM:20.5625;MX:1756.9986;USDT:903.1434",5786.3697
2025/3/16 上午12:30:25,ARTIC:38.3500;DOM:20.5625;MX:1756.9986;USDC:361.3300;USDT:541.8947,5736.9397
2025/3/16 上午8:00:00,ARTIC:38.3500;DOM:20.5625;MX:1756.9986;USDC:541.9400;USDT:361.3027,5716.7162
2025/3/17 上午8:00:01,ARTIC:38.3500;DOM:20.5625;MX:1756.9986;USDC:452.9100;USDT:452.9070,5754.7365
2025/3/18 上午8:00:01,ARTIC:38.3500;DOM:20.5625;MX:1757.5466;USDC:456.7085;USDT:456.7268,5890.4556
2025/3/19 上午8:00:01,ARTIC:38.3500;DOM:20.5625;MX:1757.5466;USDC:276.1114;USDT:644.2488,5992.3157
2025/3/20 上午8:00:00,ARTIC:38.3500;DOM:20.5625;MX:1757.5466;USDC:742.0715;USDT:185.5947,6039.5178
2025/3/21 上午8:00:01,ARTIC:38.3500;DOM:20.5625;MX:1759.9305;USDC:46.5336;USDT:884.0538,6107.0990
2025/3/21 上午10:28:43,ARTIC:38.3500;DOM:20.5625;MX:1759.9305;USDC:46.5336;USDT:884.0538,6131.2054
2025/3/21 下午10:50:24,ARTIC:38.3500;DOM:20.5625;MX:1760.7522;USDC:93.9280;USDT:845.2937,6102.3222
2025/3/22 上午8:00:00,ARTIC:38.3500;DOM:20.5625;MX:1760.7522;USDC:187.8480;USDT:751.3690,6095.4600
